key,title,authors,journal,issn,volume,issue,pages,year,publisher,url,abstract,notes,doi,keywords
37,Impulsivity And Attention In Obsessive Compulsive And Tic Disorders: Mismatch In Self-Report And Behavioural Data,KOENN LG;KOHL S;SCHLEYKEN S;KUHN J,JOURNAL OF CLINICAL MEDICINE,,,,,2023,,,"Impulsivity is a multidimensional, cross-diagnostic behavioural construct that has been described in various psychiatric disorders including obsessive-compulsive disorder (ocd) and tourette syndrome (ts). Different interpretations of results in the past have raised the question of heightened impulsivity as an explanatory model for self-described impulsive behaviour, especially in ocd. Our study included 16 patients with ocd, 14 patients with ts, and 28 healthy control subjects (hc). Self-assessed impulsivity was examined by the barratt impulsiveness scale-11 (bis-11), and the behavioural test used was the immediate and delayed memory task (imt/dmt). Significantly heightened self-assessed impulsivity of the patient collective compared to hc could be observed in in only one dimension: lack of attention (chi(2) (2) = 24.910, p < 0.001). Post-hoc tests were performed using bonferroni adjusted alpha levels of 0.0167 per test (0.05/3) and revealed significantly higher scores in patients with ocd (m = 19.57, sd = 2.82), z = 4.292, p < 0.001 as with ts (m = 19.38, sd = 3.62), z = 3.832, p < 0.001 compared to hc (m = 13.78, sd = 3.18). In patients with ocd, correlations between the dimension of obsessive thoughts with a lack of attention in the form of first-order factor cognitive instability could be shown (n = 14, p = 0.024, r(s) = 0.599) while in patients with ts, tic symptomatology correlated significantly with second-order factor attentional impulsivity (n = 12, p = 0.027, r(s) = 0.635). In behavioural testing, no significant group differences could be observed either in impulsive behaviour (imt: chi(2) (2) = 4.709, p = 0.824; dmt: chi(2) (2) = 0.126, p = 0.939) or in sustained attention (imt: chi(2) (2) = 0.388, p = 0.095; dmt: chi(2) (2) = 0.663, p = 0.718). Heightened impulsivity as an explanatory model for the observed lack of attention, especially in patients with ocd, should be questioned and interpretation biases considered in the future. The necessity of a multidimensional approach to the research of impulsivity is underscored by our results.",,,OBSESSIVE-COMPULSIVE DISORDER; OCD; TOURETTE SYNDROME; TOURETTE'S; SYNDROME; IMPULSIVITY; IMPULSIVE BEHAVIOUR; SELF-REPORTED;; SELF-ASSESSED; BARRATT IMPULSIVENESS SCALE-11; BIS-11; IMMEDIATE THEN; DELAYED MEMORY TASK; IMT; DMT; ATTENTION
38,Children's Judgments And Attributions In Response To The 'Mentally Retarded' Label: A Developmental Approach,BROMFIELD R;WEISZ JR;MESSER T,JOURNAL OF ABNORMAL PSYCHOLOGY,,,,,1986,,,"140 3rd graders, 188 6th graders, and 97 9th graders viewed a videotape in which a child failed a puzzle task. All of the ss had identical information about the child's achievement scores and puzzle ability, but half were told that the child was mentally retarded. Consistent with key person perception and social cognition findings, the traitlike retarded label had little impact on younger ss but strong effects on older ss. Like adults in earlier research, 6th and 9th graders saw low effort as a less important cause of failure for the retarded than for the unlabeled child, and they saw less need to urge the retarded child to persist. Correlations showed no evidence of logical linkages among attributions, expectancies, and persistence-urging among 3rd graders, but strong linkages among 6th and 9th graders. Findings suggest that label effects are mediated by cognitive processes dependent on developmental level. (35 ref) (psycinfo database record (c) 2022 apa, all rights reserved)",,,AGE DIFFERENCES & TARGET S'S ABILITY LEVEL & ACHIEVEMENT SCORES & LABEL AS MENTALLY RETARDED; ATTRIBUTIONS & EXPECTATIONS & RATINGS OF DESIRABILITY AS FRIEND; 3RD VS 6TH VS 9TH GRADERS; ADOLESCENT; ATTITUDE; CHILD; CHILD DEVELOPMENT; FEMALE; HUMANS; INTELLECTUAL DISABILITY; MALE; SET (PSYCHOLOGY); AGE DIFFERENCES; ATTRIBUTION; LABELING; INTELLECTUAL DEVELOPMENT DISORDER (ATTITUDES TOWARD); ABILITY LEVEL
39,Testing The Cognitive Catalyst Model With Idiographic Content: Rumination Moderates The Association Between Self-Discrepancies And Depressive Symptoms,VERGARA-LOPEZ C;KYUNG Y;DETSCHNER J,JOURNAL OF EXPERIMENTAL PSYCHOPATHOLOGY,,,,,2014,,,"Depressive rumination, which involves repetitive thinking directed at one's depressive symptoms and the perceived causes and consequences of those symptoms, plays an important role in the onset and maintenance of depression. Recently, ciesla, and roberts (2002, 2007; ciesla, felton, \& roberts, 2011) proposed the cognitive catalyst model of depression, which posits that rumination intensifies the impact of already existing negative cognitions. Previous studies examining rumination as a moderator of cognitive content have used nomothetic conceptualizations of cognitive content. The current research replicated and extended these past studies using an idiographic conceptualization of negative cognitive content, specifically self-discrepancy theory (sdt). Sdt suggests that idiographic self-guides serve to direct behavior and govern self-regulation (higgins, 1987). Two studies based on college student samples (n = 102 and n = 107) tested the interaction between rumination and self-discrepancies in the prediction of depressive symptoms. In line with the cognitive catalyst model, study 1 found that rumination moderated the association between actual: ideal self-discrepancies and depressive symptoms, such that self-discrepancies predicted depression more strongly among high compared to low ruminators. Study 2 found that the interaction between rumination and actual: ideal self-discrepancies was specific to predicting dysphoric mood and insomnia versus other dimensions of depressive symptoms, such as lassitude, appetite change and suicidality, and that these effects were limited to males. Results from the two studies provide further support for the cognitive catalyst model by demonstrating that rumination amplifies the association between self-discrepancies and depression and suggests that these effects may be specific to dysphoric mood and insomnia (at least for males) as opposed to other forms of depressive symptomatology. (C) copyright 2014 textrum ltd. All rights reserved.",,,RUMINATION; REPETITIVE THOUGHT; COGNITIVE VULNERABILITY; DEPRESSION;; SELF-DISCREPANCIES; COGNITIVE CATALYST MODEL
40,Bereavement Among Urban University Students: The Role Of Meaning Making In Adjustment To Loss,NORRIS-BELL RL,NA,,,,,2013,,,"Employing neimeyer's theory of meaning reconstruction as a guiding framework, this study examined meaning making in a diverse sample of bereaved university students. The aims of this study were to 1) identify types of meanings made about loss, 2) examine socio-demographic and bereavement-related characteristics that might influence meaning making, and 3) investigate associations between types of meanings and post-loss psychological adjustment. Participants were 229 students from an urban commuter university. This was a cross-sectional study, employing self-report data collected on a secure, web-based system. Participants were 18 years or older and had experienced the loss of a friend or family member within the last three years. Bereavement-related meaning making was assessed using four measures of sense-making, cognitive appraisal, religious/spiritual meaning, and impact on identity. Participants were diverse in age (18–61 years, m = 24.18), race (55% white/caucasian, 15.3% asian, 14.4% latino/a, 14.4% black/african american, and 10.4% multi-racial/other), and religious background (25% atheist, 28% agnostic, 53% affiliated with a religion, and 6% spiritual/not religious). The majority lost a family member (66.7%), rather than a friend. Cause of death was due to natural (64.5%) or unnatural/violent causes and the mean time since death was 17.2 months. Principal components analysis identified five interpretable factors of meaning making: 1) personal growth, 2) positive reframing, 3) spiritual/religious meaning, 4) causal attribution, and 5) rumination/impact on identity. After controlling for covariates, each of the factors was regressed onto positive affect (panas), depression (ces-d), posttraumatic stress (pcl-s), and prolonged grief (pgd-13). Results of this study indicated that bereaved students made positive and negative secular and religious meanings about loss. Meaning making factors were influenced by socio-demographic and bereavement-related characteristics, in particular a closer relationship with the deceased, cause of death due to unnatural/violent causes, and younger age of the deceased when he or she died. These characteristics may make it more difficult for survivors to make sense and find meaning in a loss. Difficulty making sense was associated with higher distress, including symptoms of depression, ptsd, and prolonged grief as well as lower positive affect. Future studies are warranted to examine specific cultural influences and the clinical significance of ascribing meaning to loss among underserved groups. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,BEREAVED STUDENTS; BEREAVED UNIVERSITY STUDENTS; BEREAVEMENT-RELATED CHARACTERISTICS; CAUSAL ATTRIBUTION; CLINICAL SIGNIFICANCE; CLOSER RELATIONSHIP; COGNITIVE APPRAISAL; CROSS-SECTIONAL STUDY; CULTURAL INFLUENCES; FAMILY MEMBER; GUIDING FRAMEWORK; ADJUSTMENT; COGNITIVE APPRAISAL; GRIEF; MEANING
41,The Interactive Effect Of Blame Attribution With Characteristics Of Child Sexual Abuse On Posttraumatic Stress Disorder,CANTÓN-CORTÉS D;CANTÓN J;CORTÉS MR,JOURNAL OF NERVOUS AND MENTAL DISEASE,,,,,2012,,,"The present study examined the role of attributions of blame for child sexual abuse (csa) in posttraumatic stress disorder (ptsd) symptoms. The interactive effects of attribution of blame with characteristics of abuse on ptsd were studied. A sample of 151 female victims of csa participated in the study. Self-blame and family blame were related to higher ptsd scores, whereas perpetrator blame was not related to ptsd. The strength of the relationship between blame and ptsd score was higher in cases of more severe, isolated, and extrafamilial abuse. The findings suggest that diminishing self-blame attributions may be particularly advantageous in cases of isolated and extrafamilial csa, whereas diminishing family blame would be more advantageous in cases of severe abuse. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,INTERACTIVE EFFECT; BLAME ATTRIBUTION; CHILD SEXUAL ABUSE; POSTTRAUMATIC STRESS DISORDER; ADOLESCENT; ADULT; CHILD; CHILD ABUSE; SEXUAL; CRIME VICTIMS; FAMILY RELATIONS; FEMALE; GUILT; HUMANS; SELF CONCEPT; STRESS DISORDERS; POST-TRAUMATIC; SURVEYS AND QUESTIONNAIRES; YOUNG ADULT; ATTRIBUTION; BLAME; CHILD ABUSE; POSTTRAUMATIC STRESS DISORDER; SEXUAL ABUSE; EARLY EXPERIENCE
42,Mediation And Moderation Of Treatment Effects In Randomised Controlled Trials Of Complex Interventions,EMSLEY R;DUNN G;WHITE IR,STATISTICAL METHODS IN MEDICAL RESEARCH,,,,,2010,,,"Complex intervention trials should be able to answer both pragmatic and explanatory questions in order to test the theories motivating the intervention and help understand the underlying nature of the clinical problem being tested. Key to this is the estimation of direct effects of treatment and indirect effects acting through intermediate variables which are measured post-randomisation. Using psychological treatment trials as an example of complex interventions, we review statistical methods which crucially evaluate both direct and indirect effects in the presence of hidden confounding between mediator and outcome. We review the historical literature on mediation and moderation of treatment effects. We introduce two methods from within the existing causal inference literature, principal stratification and structural mean models, and demonstrate how these can be applied in a mediation context before discussing approaches and assumptions necessary for attaining identifiability of key parameters of the basic causal model. Assuming that there is modification by baseline covariates of the effect of treatment (i.e. Randomisation) on the mediator (i.e. Covariate by treatment interactions), but no direct effect on the outcome of these treatment by covariate interactions leads to the use of instrumental variable methods. We describe how moderation can occur through post-randomisation variables, and extend the principal stratification approach to multiple group methods with explanatory models nested within the principal strata. We illustrate the new methodology with motivating examples of randomised trials from the mental health literature.",,,NA
43,Attributional Processes In Response To Social Displays Of Depressive Behavior,ELLIOTT TR;MACNAIR RR,JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,,,,,1991,,,"Examined spontaneous attributional (atb) processes in social responses to depression. 143 undergraduates viewed a videotape of a person who displayed either depressed or nondepressed behavior. Atb sets regarding the target were manipulated. In one condition, the target appeared physically disabled; in another condition, the target was described as having alcoholism. In the neutral condition, no such information was available. Ss rated their subjective emotional experience on several visual analog scales after viewing the target and completed a thought-listing measure that did not directly solicit s thoughts about the target. Depressed targets elicited higher levels of depression and pity among ss. However, atb sets had no effect on s emotional experience. Ss had significantly higher rates of atb thoughts and control attributions after viewing the depressed targets regardless of atb set. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,VIEWING OF SOCIAL DISPLAYS OF DEPRESSION; ATTRIBUTION & EMOTIONAL REACTIONS; COLLEGE STUDENTS; ATTRIBUTION; EMOTIONAL RESPONSES; MAJOR DEPRESSION
44,What Perceptions Do Men Have About Temporary Stoma After A Rectal Cancer Surgery? An Exploratory Study,FAURY S;RULLIER E;QUINTARD B,PSYCHO-ONCOLOGIE,,,,,2017,,,"This paper explores the perceptions of temporary stoma and their association with anxiety, depression and body image in men with rectum cancer. Twenty-four participants (12 men; 12 women) who were diagnosed with rectal cancer and temporary stoma were twice administered brief-ipq, qic, and hads. Certain differences have been observed among men and women in the perceptions of stoma from the following perspectives: personal control, coherence, emotional impact and impact of the type of causal attribution on depression scores. Our results suggest, for men, that some perceptions of temporary stoma (causes, identity, utility, coherence, emotional impact) are associated with body image, depression and anxiety. This study highlights the need to propose, if perceptions of temporary stoma are perceived as menacing, a psychological counselling to avoid the development of anxious and depressive symptoms and alteration in body image.",,,RECTAL CANCER; TEMPORARY STOMA; PERCEPTION; BODY IMAGE; PSYCHOLOGICAL; DISTRESS
45,"Shame-Proneness And Attribution As Predictors Of Cognitive, Affective, And Behavioral Responses To An Experimental Task",HEYEN A,NA,,,,,1998,,,"This study examined whether shame-proneness and attribution predicted cognitive, affective, and behavioral outcomes in a controlled experimental situation. The study also examined whether self-reported attributional style mediated the relationship between shame-proneness and theoretically predicted outcomes condition. One hundred thirty-six participants were randomly assigned to conditions and were given either situational or characterological attributions for poor performance on a task involving social judgment and insight. As expected, shame-proneness was positively associated with post test negative mood, negative self-thoughts, and self-reported characterological attributions, and was negatively associated with state self-esteem. Contrary to predictions, self-reported characterological attributions did not mediate the relationship between shame-proneness and outcomes. In addition, the study examined issues related to the construct validity of shame-proneness as a trait-like personality variable. Measures of self-esteem, depression, anxiety, and social desirability were given in order to assess the convergent and divergent validity of several existing measures of shame-proneness. Measures of shame-proneness were related to, but not identical to measures of psychopathology. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,SHAME-PRONENESS AND ATTRIBUTION AS PREDICTORS OF COGNITIVE; AFFECTIVE; AND BEHAVIORAL RESPONSES TO AN EXPERIMENTAL TASK (SELF-ESTEEM); ATTRIBUTION; EMOTIONAL STATES; PERSONALITY TRAITS; SELF-ESTEEM; SHAME; BEHAVIOR; COGNITIVE PROCESSES
46,"Major Depressive Disorder In Iran: Epidemiology, Health Care Provision, Utilization, And Challenges",AMIN-ESMAEILI M;SHADLOO B;RAHIMI-MOVAGHAR A;ARDESTANI SMS;HAJEBI A;KHATIBZADEH S;SHARIFI V;SAMADI R;YASAMY MT;ZARGHAMI M;FARZADFAR F;SHAHRAZ S,ARCHIVES OF IRANIAN MEDICINE,,,,,2022,,,"One in eight adults in iran is estimated to have major depressive disorder (mdd) - a leading cause of disability in the country. Many remain undiagnosed, and some receive only partial treatment. An estimated 60\% of those with mdd were reported to have received no treatment during the past year. In this paper, we have critically reviewed the current health-care structure in the country along with prevailing patterns of health-care service utilization. We have addressed the role of psychiatrists, general practitioners (gps), psychologists, and other health-care personnel in the treatment and care of patients with mdd, with an emphasis on the quality of service provision. In addition, the strengths and weaknesses of primary healthcare (phc), the health insurance system, and inpatient care have been discussed. We have paid attention to the contextual issues such as mental health literacy, stigma, and healthcare inequity where relevant. Finally, practical recommendations have been provided to improve the quality of care for patients with mdd in iran.",,,BURDEN; DEPRESSION; HEALTH EQUITY; MOOD DISORDER; UNMET NEED
47,Illness Beliefs About Depression Among Patients Seeking Depression Care And Patients Seeking Cardiac Care: An Exploratory Analysis Using A Mixed Method Design,MAGAARD JL;LOEWE B;BRUETT S,BMC PSYCHIATRY,,,,,2018,,,"Backgroundtreatment of depression in cardiac patients is difficult. Patients' illness beliefs regarding depression are associated with outcomes. The aim of the mixed-methods study was to test whether patients in routine care for depression differ from patients with depression in routine care for cardiac diseases regarding illness beliefs about depression.methodsa consecutive sample of n=217 patients with depressive disorder was recruited from routine care for depression (n=148) and routine care for cardiac diseases (n=69). Beliefs about depression were measured by the brief-illness perception questionnaire. Causal beliefs were categorized using qualitative methods. To investigate differences regarding other illness beliefs, we performed an ancova controlling for sociodemographic and clinical differences by propensity score matching.resultspatients in routine care for cardiac diseases attributed their depression more often to physical illnesses (48\% vs. 16\%) and less often to their self (30\% vs. 47\%), problems at work (25\% vs. 35\%), childhood (25\% vs. 30\%), and negative life events (19\% vs. 25\%) in contrast to patients in routine care for depression. Patients in routine care for cardiac diseases reported beliefs of lower disability, burden, and treatment-control and of higher self-control in contrast to patients in routine care for depression.conclusionsillness beliefs especially causal beliefs differ between patients in routine care for cardiac diseases and routine care for depression. Future research should investigate effects of these illness beliefs. We recommend exploring patients' illness beliefs about depression in routine care for cardiac diseases and routine care for depression.",,,CAUSAL BELIEFS; CORONARY HEART DISEASE; DEPRESSION; ILLNESS; REPRESENTATIONS
48,Exam Time: The Influence Of Short Term Stressful Events,SZABO Z;MARIAN M,JOURNAL OF PSYCHOLOGICAL AND EDUCATIONAL RESEARCH,,,,,2018,,,"In this study 80 freshmen education students responded to a questionnaire package concerning causal attributions for stressful life events, perceived affective state, problem-solving abilities, and level of procrastination. Results suggest that the stress experienced by freshmen students, due to end of semester exam session, might exacerbate the perception of previously lived stressful life events. Students who experienced a traumatic event of moderate to high level will report after the exams session increased levels of procrastination, less problem-solving abilities, and an increased level of potential depression symptoms.",,,CAUSAL ATTRIBUTIONS; PERCEIVED AFFECTIVE STATE; STRESSORS
49,Does It Matter How We Refer To Individuals With Substance-Related Conditions? A Randomized Study Of Two Commonly Used Terms,KELLY JF;WESTERHOFF CM,INTERNATIONAL JOURNAL OF DRUG POLICY,,,,,2010,,,"Objective: stigma is a frequently cited barrier to help-seeking for many with substance-related conditions. Common ways of describing individuals with such problems may perpetuate or diminish stigmatizing attitudes yet little research exists to inform this debate. We sought to determine whether referring to an individual as ``a substance abuser'' vs. ``having a substance use disorder'' evokes different judgments about behavioral self-regulation, social threat, and treatment vs. Punishment. Method: a randomized, between-subjects, cross-sectional design was utilized. Participants were asked to read a vignette containing one of the two terms and to rate their agreement with a number of related statements. Clinicians (n = 516) attending two mental health conferences (63\% female, 81\% white, m age 51; 65\% doctoral-level) completed the study (71\% response rate). A likert-scaled questionnaire with three subscales [''perpetrator-punishment'' (alpha =.80); ``social threat'' (alpha = .86); ``victim-treatment'' (alpha = .64)] assessed the perceived causes of the problem, whether the character was a social threat, able to regulate substance use, and should receive therapeutic vs. Punitive action. Results: no differences were detected between groups on the social threat or victim-treatment subscales. However, a difference was detected on the perpetrator-punishment scale. Compared to those in the ``substance use disorder'' condition, those in the ``substance abuser'' condition agreed more with the notion that the character was personally culpable and that punitive measures should be taken. Conclusions: even among highly trained mental health professionals, exposure to these two commonly used terms evokes systematically different judgments. The commonly used ``substance abuser'' term may perpetuate stigmatizing attitudes. (C) 2009 elsevier b.v. All rights reserved.",,,POLICY; SUBSTANCE USE DISORDER; SUBSTANCE ABUSER; TERMINOLOGY; STIGMA;; TREATMENT ACCESS
50,Percepciones De Enfermedad Y Su Relación Con La Calidad De Vida En Pacientes Con Enfermedades Crónicas = Illness Perceptions And Its Relationship With Quality Of Life In Patients With Chronic Illness,TORRES S;JARAMILLO I;CARDONA F;LONDOÑO M;VILLA N;GALLE G;GÓMEZ PE;ROMÁN-CALDERÓN JP;LEMOS M,REVISTA ARGENTINA DE CLÍNICA PSICOLÓGICA,,,,,2019,,,"We present a study performed to evaluate the relationship between illness perceptions, health related quality of life (hrql) and emotional symptoms in 87 patients with chronic illnesses. People with a better physic and mental hrql showed higher levels in treatment control, coherence and total score. The personal control scale was higher in those who had a good physical component, but they also showed low levels in the subscales of identity and consequences. People with higher levels in the mental component showed lower levels in the expression of symptoms, cyclical temporality, causes related with psychological factors, emotional representation, as well as more symptoms of depression and anxiety. Finally, it was found that the total score predicted the physical and mental hrql score. (Psycinfo database record (c) 2020 apa, all rights reserved), se presenta un estudio realizado para evaluar la relación entre percepciones de la enfermedad, calidad de vida relacionada con la salud (cvrs))",,,ILLNESS PERCEPTIONS; CHRONIC ILLNESSES; DEPRESSION; ANXIETY; QUALITY OF LIFE; ATTITUDES; CHRONIC ILLNESS; PSYCHOSOCIAL FACTORS; QUALITY OF LIFE; HEALTH RELATED QUALITY OF LIFE; ANXIETY DISORDERS; MAJOR DEPRESSION
51,The Effect Of Causal Attributions For Depression On Help-Seeking And Treatment Preferences,NOLAN A;O'CONNOR C,JOURNAL OF AFFECTIVE DISORDERS,,,,,2019,,,"Background: depression is a leading cause of ill-health and disability globally and encouraging help-seeking and treatment engagement is a key priority of health authorities worldwide. Causal attributions for mental illness have numerous attitudinal and behavioural consequences; however, limited research has explored their implications for attitudes to treatment. This study experimentally investigates the impact of causal attributions for depression on attitudes to specific help-seeking and treatment options. Methods: in an online study, 196 participants read a vignette that emphasised either biological, social or biopsychosocial causes of a character's depression. Participants rated several help-seeking and treatment options on how helpful or harmful they would be for the individual described in the vignette and for themselves personally. Results: the causal attribution manipulation significantly affected treatment attitudes. Relative to social attributions, emphasising biological causes of depression significantly decreased the perceived helpfulness of life-style-based treatments, but did not affect attitudes to psychotherapeutic or medical treatment options. Participants rated most help-seeking and treatment options as less helpful for themselves compared to the vignette character. Participants with personal experience of depression had lower confidence in informal sources of help-seeking and greater confidence in medical treatment. Limitations:limitations include reliance on self-report measures and low reliability of certain sub-scales. Conclusions: these findings suggest emphasising the biological underpinnings of depression could deter people from engaging with lifestyle-based treatment options. Promoting biopsychosocial theories of depression could increase awareness about the multifactorial causes of depression without negatively impacting the perceived efficacy of any help-seeking or intervention options.",,,DEPRESSION; CAUSAL ATTRIBUTIONS; TREATMENT PREFERENCES; HELP-SEEKING;; SURVEY
52,Dynamics Of Inclusion And Exclusion: Comparing Mental Illness Narratives Of Haredi Male Patients And Their Rabbis,GOODMAN Y,CULTURE MEDICINE AND PSYCHIATRY,,,,,2001,,,"By comparing versions of mental illness narratives - told by haredi (utraorthodox jews) male patients of a mental health clinic in israel and by their rabbis - this paper relates to two distinct, yet interrelated, theoretical questions: the place and agency of narrators, and the tension between experience and representation. A pair of narratives exemplifies a pattern in which the patients (talmudic students) tell a narrative of a sudden breakdown related to a dramatic meeting with a non-human figure (often, a woman) or force. Their rabbis, by contrast, tell a narrative that emphasizes their students' mundane symptoms, ``abnormal'' and ``immoral'' behavior, and use a local adaptation of a western psychological explanatory model. A dynamic of inclusion and exclusion emerges as students are seeking legitimization and avoidance of stigma, while their rabbis are silencing themes that challenge social and cultural orders. The different narratives are further interpreted in the context of the micropolitics of the interviews and of identity politics between the haredim and secular israelis. This social dynamics shows how differently placed social actors-narrators-interpreters construct differently contested and diverse cultural narratives of a seemingly shared reality.",,,HAREDIM; ISRAEL; MENTAL DISORDERS; NARRATIVE ANALYSIS; ULTRAORTHODOX; JEWS
53,Perceived Psychological Control And Anxiety In Early Adolescents: The Mediating Role Of Attributional Style,SCHLEIDER JL;VÉLEZ CE;KRAUSE ED;GILLHAM J,COGNITIVE THERAPY AND RESEARCH,,,,,2014,,,"Research indicates that perceived parental control is a risk factor for anxiety in youth, but mechanisms underlying this connection remain under-examined. This study examined whether hopeless attributional style mediates this relationship, as well as whether this relationship is moderated by gender, in early adolescents (n = 116, ages 10–14). We assessed two hypotheses: (1) that hopeless attributional style would mediate the relationship between perceived maternal psychological control and anxiety symptoms across 1 year, and (2) that this pathway would be stronger for girls than for boys. This study used a three-wave, prospective longitudinal design. Hopelessness was a significant mediator; early adolescents who perceived high rates of maternal psychological control tended to develop a more hopeless attributional style, which in turn predicted increases in anxiety. This effect was not moderated by gender. We discuss implications for treating and preventing anxiety in youth, specifically the need for interventions to address children’s hopeless attributions and perceptions of parents’ behaviors. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,PSYCHOLOGICAL CONTROL; ANXIETY; EARLY ADOLESCENTS; ATTRIBUTIONAL STYLE; PARENTAL CONTROL; RISK FACTORS; ANXIETY; ATTRIBUTION; PARENT CHILD RELATIONS; PARENTAL INVOLVEMENT; RISK FACTORS; ADOLESCENT DEVELOPMENT; PSYCHOLOGICAL STRESS
54,Understanding And Preventing Depression Among Mainland Chinese Children,LEE YT;OTTATI V;GUO D,PREVENTION & TREATMENT,,,,,2002,,,"D. L. Yu and m. E. P. Seligman's (see record [rid]2002-14077-002[/rid]) research demonstrates that the causes and prevention of depressive symptoms among mainland chinese children often mimic that of mainstream americans. Explanatory style plays a critical role in determining depressive symptoms, and intervention geared toward eliciting an optimistic explanatory style prevents the future appearance of depressive symptoms among mainland chinese children. These findings invite a variety of questions to be addressed in future research. These include questions regarding (a) the degree to which explanatory style and depressive symptoms are manifested uniquely in different cultures, (b) the degree to which components of explanatory style might be weighted differently across cultures when predicting depressive symptoms, and (c) the degree to which explanatory style might account for linkages between the recent belief crisis in china and the rising incidence of depression in china. (Psycinfo database record (c) 2016 apa, all rights reserved)",,,DEPRESSIVE SYMPTOMS; MAINLAND CHINESE CHILDREN; DEMOGRAPHIC CHARACTERISTICS; EXPLANATORY STYLE; OPTIMISTIC CHILD INTERVENTION; FAMILY CONFLICT; PENN OPTIMISM PROGRAM; ATTRIBUTION; DEMOGRAPHIC CHARACTERISTICS; MAJOR DEPRESSION; OPTIMISM; PREVENTION; COGNITIVE STYLE; FAMILY RELATIONS
55,"Attributions, Expressed Emotion, And Patient Relapse - An Attributional Model Of Relatives Response To Schizophrenic Illness",BARROWCLOUGH C;JOHNSTON M;TARRIER N,BEHAVIOR THERAPY,,,,,1994,,,"This study examines the concept of expressed emotion (ee) and tests the utility of an attributional model in understanding why relatives differ in their responses and attitudes to sufferers of schizophrenia, and how causal beliefs of family members might mediate relapse in patients. High ee relatives made more attributions about illness than did low ee. Within the high ee group, relatives with marked emotional overinvolvement were similar to the low ee group, with problems attributed to factors more external to and uncontrollable by the patient. Relatives with high criticism gave more causes internal to the patient and hostile relatives also tended to perceive the causes to be controllable by and personal to the sufferers of schizophrenia. Illness chronicity and severity was associated with more causal search. Attribution variables were better predictors of patient relapse at nine months follow-up than were ee measures.",,,NA
56,[Some Reflexions About Double Blind].,BOUSSAGEON R;GUEYFFIER F;MOREAU A;GANSEL Y;BOUSSAGEON V,L'ENCEPHALE,,,,,2008,,,"Literature findings: randomized, double blind, placebo-controlled clinical trials are currently the best means of demonstrating the clinical effectiveness of drugs. The double blind procedure, when ethically and technically feasible, is a necessary condition for validating results and for causal attribution of the observed difference between the two groups to the tested drug's pharmacological effect.; Comments: in practice, however, it appears that patients and independent investigators can guess who receives the drug and who receives a placebo through side effects, which are usually more frequent in patients receiving the drug. This phenomenon effectively ""breaks the blind"" and represents as such a major methodological bias, which cannot be avoided as it is inseparable of the drug's effect.; Conclusion: the impact of this ""unavoidable"" double blind breach nevertheless remains unclear. While it can reasonably be assumed that it may modify subjective symptoms such as anxiety or pain through suggestion, its influence on objective criteria remains to be demonstrated.",,,DOUBLE-BLIND METHOD*; RANDOMIZED CONTROLLED TRIALS AS TOPIC*; FEASIBILITY STUDIES; HUMANS; PLACEBOS
57,Looming Vulnerability To Threat: A Cognitive Paradigm For Anxiety,RISKIND JH,BEHAVIOUR RESEARCH AND THERAPY,,,,,1997,,,"The concept that perceived threat or danger is a cognitive antecedent of anxiety is central in clinical psychology, personality psychology, and social psychology. The aim in the current article is to review this concept and present a new conception called the looming vulnerability model. Looming vulnerability is conceptualized as an important cognitive component of threat. Or danger that elicits anxiety, sensitizes the individual to signs of movement and threat, biases cognitive processing, and makes the anxiety more persistent and less likely to habituate. In addition, it is postulated as a principal theme that discriminates anxiety and focal fears from depression. The looming vulnerability model integrates a disparate collection of findings and integrates the conceptualization of anxiety and fear with ethological and developmental observations. The social-cognitive and evolutionary basis of the sense of looming vulnerability are discussed, as well as its roots in cognitive schemata (fear scripts), its state elicitation by several potential classes of antecedent conditions, and possible treatment implications. (C) 1997 elsevier science ltd.",,,NA
